site,sortVar,variable,value,cellID
Foy,-5669.46,Acnanthidium minutissimum,0,1
Foy,-5661.92,Acnanthidium minutissimum,0,1
Foy,-5654.36,Acnanthidium minutissimum,0,1
Foy,-5646.77,Acnanthidium minutissimum,0,1
Foy,-5639.15,Acnanthidium minutissimum,0.003215434,1
Foy,-5635.33,Acnanthidium minutissimum,0,1
Foy,-5631.5,Acnanthidium minutissimum,0,1
Foy,-5627.66,Acnanthidium minutissimum,0,1
Foy,-5616.11,Acnanthidium minutissimum,0,1
Foy,-5608.37,Acnanthidium minutissimum,0,1
Foy,-5600.59,Acnanthidium minutissimum,0,1
Foy,-5592.78,Acnanthidium minutissimum,0,1
Foy,-5584.94,Acnanthidium minutissimum,0,1
Foy,-5577.07,Acnanthidium minutissimum,0,1
Foy,-5569.17,Acnanthidium minutissimum,0,1
Foy,-5561.23,Acnanthidium minutissimum,0,1
Foy,-5553.25,Acnanthidium minutissimum,0,1
Foy,-5545.24,Acnanthidium minutissimum,0,1
Foy,-5537.2,Acnanthidium minutissimum,0,1
Foy,-5529.11,Acnanthidium minutissimum,0,1
Foy,-5521,Acnanthidium minutissimum,0,1
Foy,-5512.84,Acnanthidium minutissimum,0,1
Foy,-5504.65,Acnanthidium minutissimum,0,1
Foy,-5496.42,Acnanthidium minutissimum,0,1
Foy,-5488.15,Acnanthidium minutissimum,0.003174603,1
Foy,-5479.84,Acnanthidium minutissimum,0,1
Foy,-5471.5,Acnanthidium minutissimum,0,1
Foy,-5463.11,Acnanthidium minutissimum,0,1
Foy,-5454.68,Acnanthidium minutissimum,0,1
Foy,-5446.22,Acnanthidium minutissimum,0,1
Foy,-5437.71,Acnanthidium minutissimum,0,1
Foy,-5429.16,Acnanthidium minutissimum,0,1
Foy,-5424.86,Acnanthidium minutissimum,0,1
Foy,-5420.56,Acnanthidium minutissimum,0,1
Foy,-5411.93,Acnanthidium minutissimum,0.009584665,1
Foy,-5407.59,Acnanthidium minutissimum,0,1
Foy,-5403.24,Acnanthidium minutissimum,0,1
Foy,-5394.52,Acnanthidium minutissimum,0,1
Foy,-5385.75,Acnanthidium minutissimum,0,1
Foy,-5372.51,Acnanthidium minutissimum,0,1
Foy,-5359.17,Acnanthidium minutissimum,0,1
Foy,-5354.7,Acnanthidium minutissimum,0.008695652,1
Foy,-5341.22,Acnanthidium minutissimum,0,1
Foy,-5332.17,Acnanthidium minutissimum,0,1
Foy,-5318.51,Acnanthidium minutissimum,0,1
Foy,-5304.74,Acnanthidium minutissimum,0,1
Foy,-5295.49,Acnanthidium minutissimum,0.00310559,1
Foy,-5286.2,Acnanthidium minutissimum,0,1
Foy,-5276.85,Acnanthidium minutissimum,0,1
Foy,-5262.73,Acnanthidium minutissimum,0,1
Foy,-5248.5,Acnanthidium minutissimum,0,1
Foy,-5238.94,Acnanthidium minutissimum,0,1
Foy,-5229.33,Acnanthidium minutissimum,0,1
Foy,-5219.66,Acnanthidium minutissimum,0,1
Foy,-5209.94,Acnanthidium minutissimum,0,1
Foy,-5200.16,Acnanthidium minutissimum,0,1
Foy,-5190.33,Acnanthidium minutissimum,0,1
Foy,-5180.44,Acnanthidium minutissimum,0.006329114,1
Foy,-5170.49,Acnanthidium minutissimum,0.025806452,1
Foy,-5160.48,Acnanthidium minutissimum,0.005780347,1
Foy,-5150.41,Acnanthidium minutissimum,0.010638298,1
Foy,-5140.29,Acnanthidium minutissimum,0,1
Foy,-5130.1,Acnanthidium minutissimum,0,1
Foy,-5119.86,Acnanthidium minutissimum,0,1
Foy,-5109.55,Acnanthidium minutissimum,0,1
Foy,-5099.18,Acnanthidium minutissimum,0,1
Foy,-5088.74,Acnanthidium minutissimum,0,1
Foy,-5078.25,Acnanthidium minutissimum,0,1
Foy,-5067.69,Acnanthidium minutissimum,0,1
Foy,-5057.06,Acnanthidium minutissimum,0,1
Foy,-5046.37,Acnanthidium minutissimum,0,1
Foy,-5035.62,Acnanthidium minutissimum,0,1
Foy,-5024.79,Acnanthidium minutissimum,0,1
Foy,-5013.9,Acnanthidium minutissimum,0.003215434,1
Foy,-5002.95,Acnanthidium minutissimum,0.005813953,1
Foy,-4991.92,Acnanthidium minutissimum,0,1
Foy,-4980.82,Acnanthidium minutissimum,0,1
Foy,-4969.66,Acnanthidium minutissimum,0,1
Foy,-4958.42,Acnanthidium minutissimum,0,1
Foy,-4947.11,Acnanthidium minutissimum,0,1
Foy,-4935.73,Acnanthidium minutissimum,0,1
Foy,-4924.28,Acnanthidium minutissimum,0,1
Foy,-4912.75,Acnanthidium minutissimum,0,1
Foy,-4901.15,Acnanthidium minutissimum,0,1
Foy,-4889.48,Acnanthidium minutissimum,0,1
Foy,-4877.73,Acnanthidium minutissimum,0,1
Foy,-4865.9,Acnanthidium minutissimum,0,1
Foy,-4854,Acnanthidium minutissimum,0,1
Foy,-4842.02,Acnanthidium minutissimum,0,1
Foy,-4829.96,Acnanthidium minutissimum,0.006622517,1
Foy,-4817.82,Acnanthidium minutissimum,0,1
Foy,-4805.6,Acnanthidium minutissimum,0,1
Foy,-4793.3,Acnanthidium minutissimum,0,1
Foy,-4780.92,Acnanthidium minutissimum,0,1
Foy,-4768.46,Acnanthidium minutissimum,0,1
Foy,-4755.92,Acnanthidium minutissimum,0,1
Foy,-4743.29,Acnanthidium minutissimum,0,1
Foy,-4730.57,Acnanthidium minutissimum,0,1
Foy,-4717.78,Acnanthidium minutissimum,0,1
Foy,-4704.89,Acnanthidium minutissimum,0,1
Foy,-4691.92,Acnanthidium minutissimum,0,1
Foy,-4678.87,Acnanthidium minutissimum,0,1
Foy,-4665.72,Acnanthidium minutissimum,0,1
Foy,-4652.49,Acnanthidium minutissimum,0,1
Foy,-4639.16,Acnanthidium minutissimum,0,1
Foy,-4625.75,Acnanthidium minutissimum,0,1
Foy,-4612.25,Acnanthidium minutissimum,0,1
Foy,-4598.65,Acnanthidium minutissimum,0,1
Foy,-4584.96,Acnanthidium minutissimum,0,1
Foy,-4571.18,Acnanthidium minutissimum,0,1
Foy,-4557.3,Acnanthidium minutissimum,0,1
Foy,-4543.33,Acnanthidium minutissimum,0,1
Foy,-4529.26,Acnanthidium minutissimum,0,1
Foy,-4522.19,Acnanthidium minutissimum,0,1
Foy,-4515.09,Acnanthidium minutissimum,0,1
Foy,-4500.83,Acnanthidium minutissimum,0.003236246,1
Foy,-4486.47,Acnanthidium minutissimum,0,1
Foy,-4472.01,Acnanthidium minutissimum,0,1
Foy,-4457.45,Acnanthidium minutissimum,0,1
Foy,-4442.79,Acnanthidium minutissimum,0,1
Foy,-4428.03,Acnanthidium minutissimum,0,1
Foy,-4413.16,Acnanthidium minutissimum,0,1
Foy,-4398.19,Acnanthidium minutissimum,0,1
Foy,-4383.12,Acnanthidium minutissimum,0,1
Foy,-4367.94,Acnanthidium minutissimum,0,1
Foy,-4352.66,Acnanthidium minutissimum,0,1
Foy,-4337.27,Acnanthidium minutissimum,0.002873563,1
Foy,-4321.77,Acnanthidium minutissimum,0.006493506,1
Foy,-4306.16,Acnanthidium minutissimum,0.003021148,1
Foy,-4290.45,Acnanthidium minutissimum,0.003367003,1
Foy,-4274.62,Acnanthidium minutissimum,0.003311258,1
Foy,-4258.68,Acnanthidium minutissimum,0,1
Foy,-4242.63,Acnanthidium minutissimum,0,1
Foy,-4226.47,Acnanthidium minutissimum,0,1
Foy,-4210.2,Acnanthidium minutissimum,0,1
Foy,-4193.81,Acnanthidium minutissimum,0.00304878,1
Foy,-4177.3,Acnanthidium minutissimum,0,1
Foy,-4160.68,Acnanthidium minutissimum,0,1
Foy,-4143.94,Acnanthidium minutissimum,0,1
Foy,-4127.08,Acnanthidium minutissimum,0,1
Foy,-4110.1,Acnanthidium minutissimum,0,1
Foy,-4093,Acnanthidium minutissimum,0,1
Foy,-4075.78,Acnanthidium minutissimum,0,1
Foy,-4058.44,Acnanthidium minutissimum,0,1
Foy,-4040.98,Acnanthidium minutissimum,0,1
Foy,-4023.39,Acnanthidium minutissimum,0,1
Foy,-4005.68,Acnanthidium minutissimum,0,1
Foy,-3987.84,Acnanthidium minutissimum,0,1
Foy,-3969.88,Acnanthidium minutissimum,0,1
Foy,-3951.78,Acnanthidium minutissimum,0.003333333,1
Foy,-3933.56,Acnanthidium minutissimum,0,1
Foy,-3924.4,Acnanthidium minutissimum,0.00955414,1
Foy,-3915.21,Acnanthidium minutissimum,0,1
Foy,-3905.99,Acnanthidium minutissimum,0,1
Foy,-3896.73,Acnanthidium minutissimum,0,1
Foy,-3878.12,Acnanthidium minutissimum,0,1
Foy,-3859.37,Acnanthidium minutissimum,0,1
Foy,-3840.5,Acnanthidium minutissimum,0,1
Foy,-3821.48,Acnanthidium minutissimum,0,1
Foy,-3802.33,Acnanthidium minutissimum,0,1
Foy,-3783.05,Acnanthidium minutissimum,0,1
Foy,-3763.63,Acnanthidium minutissimum,0,1
Foy,-3744.07,Acnanthidium minutissimum,0.003289474,1
Foy,-3724.37,Acnanthidium minutissimum,0,1
Foy,-3704.53,Acnanthidium minutissimum,0,1
Foy,-3684.54,Acnanthidium minutissimum,0,1
Foy,-3664.42,Acnanthidium minutissimum,0,1
Foy,-3644.15,Acnanthidium minutissimum,0.013793103,1
Foy,-3623.74,Acnanthidium minutissimum,0.01183432,1
Foy,-3603.18,Acnanthidium minutissimum,0,1
Foy,-3582.48,Acnanthidium minutissimum,0,1
Foy,-3551.14,Acnanthidium minutissimum,0,1
Foy,-3519.47,Acnanthidium minutissimum,0,1
Foy,-3498.17,Acnanthidium minutissimum,0,1
Foy,-3476.72,Acnanthidium minutissimum,0,1
Foy,-3455.11,Acnanthidium minutissimum,0,1
Foy,-3433.35,Acnanthidium minutissimum,0,1
Foy,-3411.44,Acnanthidium minutissimum,0.005617978,1
Foy,-3389.37,Acnanthidium minutissimum,0.003205128,1
Foy,-3367.14,Acnanthidium minutissimum,0,1
Foy,-3344.75,Acnanthidium minutissimum,0,1
Foy,-3322.21,Acnanthidium minutissimum,0,1
Foy,-3299.5,Acnanthidium minutissimum,0,1
Foy,-3288.09,Acnanthidium minutissimum,0,1
Foy,-3276.63,Acnanthidium minutissimum,0,1
Foy,-3253.6,Acnanthidium minutissimum,0,1
Foy,-3230.41,Acnanthidium minutissimum,0,1
Foy,-3207.05,Acnanthidium minutissimum,0,1
Foy,-3183.52,Acnanthidium minutissimum,0.005698006,1
Foy,-3159.83,Acnanthidium minutissimum,0.006578947,1
Foy,-3135.97,Acnanthidium minutissimum,0,1
Foy,-3123.97,Acnanthidium minutissimum,0.006644518,1
Foy,-3111.94,Acnanthidium minutissimum,0.006024096,1
Foy,-3087.74,Acnanthidium minutissimum,0.009933775,1
Foy,-3063.37,Acnanthidium minutissimum,0.006666667,1
Foy,-3038.82,Acnanthidium minutissimum,0,1
Foy,-3014.1,Acnanthidium minutissimum,0,1
Foy,-2989.21,Acnanthidium minutissimum,0,1
Foy,-2964.14,Acnanthidium minutissimum,0,1
Foy,-2938.89,Acnanthidium minutissimum,0,1
Foy,-2913.46,Acnanthidium minutissimum,0,1
Foy,-2887.86,Acnanthidium minutissimum,0,1
Foy,-2862.07,Acnanthidium minutissimum,0,1
Foy,-2836.1,Acnanthidium minutissimum,0,1
Foy,-2809.95,Acnanthidium minutissimum,0,1
Foy,-2783.61,Acnanthidium minutissimum,0.012944984,1
Foy,-2757.09,Acnanthidium minutissimum,0.006430868,1
Foy,-2730.38,Acnanthidium minutissimum,0,1
Foy,-2703.48,Acnanthidium minutissimum,0,1
Foy,-2676.39,Acnanthidium minutissimum,0,1
Foy,-2649.12,Acnanthidium minutissimum,0,1
Foy,-2635.4,Acnanthidium minutissimum,0.006514658,1
Foy,-2621.65,Acnanthidium minutissimum,0.00931677,1
Foy,-2593.98,Acnanthidium minutissimum,0.013192612,1
Foy,-2566.13,Acnanthidium minutissimum,0,1
Foy,-2538.07,Acnanthidium minutissimum,0,1
Foy,-2509.83,Acnanthidium minutissimum,0,1
Foy,-2481.38,Acnanthidium minutissimum,0,1
Foy,-2452.73,Acnanthidium minutissimum,0,1
Foy,-2423.89,Acnanthidium minutissimum,0,1
Foy,-2394.84,Acnanthidium minutissimum,0,1
Foy,-2365.59,Acnanthidium minutissimum,0,1
Foy,-2336.13,Acnanthidium minutissimum,0.002985075,1
Foy,-2306.47,Acnanthidium minutissimum,0,1
Foy,-2291.56,Acnanthidium minutissimum,0,1
Foy,-2276.6,Acnanthidium minutissimum,0,1
Foy,-2246.53,Acnanthidium minutissimum,0,1
Foy,-2173,Acnanthidium minutissimum,0,1
Foy,-2165,Acnanthidium minutissimum,0,1
Foy,-2160,Acnanthidium minutissimum,0,1
Foy,-2155,Acnanthidium minutissimum,0,1
Foy,-2150,Acnanthidium minutissimum,0,1
Foy,-2144,Acnanthidium minutissimum,0,1
Foy,-2136,Acnanthidium minutissimum,0,1
Foy,-2129,Acnanthidium minutissimum,0,1
Foy,-2124,Acnanthidium minutissimum,0,1
Foy,-2119,Acnanthidium minutissimum,0,1
Foy,-2114,Acnanthidium minutissimum,0,1
Foy,-2109,Acnanthidium minutissimum,0,1
Foy,-2104,Acnanthidium minutissimum,0,1
Foy,-2098,Acnanthidium minutissimum,0,1
Foy,-2089,Acnanthidium minutissimum,0,1
Foy,-2081,Acnanthidium minutissimum,0,1
Foy,-2072,Acnanthidium minutissimum,0,1
Foy,-2062,Acnanthidium minutissimum,0,1
Foy,-2055,Acnanthidium minutissimum,0,1
Foy,-2047,Acnanthidium minutissimum,0,1
Foy,-2041,Acnanthidium minutissimum,0,1
Foy,-2037,Acnanthidium minutissimum,0,1
Foy,-2031,Acnanthidium minutissimum,0,1
Foy,-2023,Acnanthidium minutissimum,0,1
Foy,-2015,Acnanthidium minutissimum,0,1
Foy,-2004,Acnanthidium minutissimum,0,1
Foy,-1993,Acnanthidium minutissimum,0,1
Foy,-1985,Acnanthidium minutissimum,0,1
Foy,-1977,Acnanthidium minutissimum,0,1
Foy,-1970,Acnanthidium minutissimum,0,1
Foy,-1965,Acnanthidium minutissimum,0,1
Foy,-1960,Acnanthidium minutissimum,0,1
Foy,-1955,Acnanthidium minutissimum,0,1
Foy,-1950,Acnanthidium minutissimum,0,1
Foy,-1944,Acnanthidium minutissimum,0,1
Foy,-1937,Acnanthidium minutissimum,0,1
Foy,-1931,Acnanthidium minutissimum,0,1
Foy,-1925,Acnanthidium minutissimum,0,1
Foy,-1919,Acnanthidium minutissimum,0,1
Foy,-1915,Acnanthidium minutissimum,0,1
Foy,-1910,Acnanthidium minutissimum,0,1
Foy,-1903,Acnanthidium minutissimum,0,1
Foy,-1897,Acnanthidium minutissimum,0,1
Foy,-1892,Acnanthidium minutissimum,0,1
Foy,-1886,Acnanthidium minutissimum,0,1
Foy,-1880,Acnanthidium minutissimum,0,1
Foy,-1874,Acnanthidium minutissimum,0,1
Foy,-1866,Acnanthidium minutissimum,0,1
Foy,-1860,Acnanthidium minutissimum,0,1
Foy,-1853,Acnanthidium minutissimum,0.027777778,1
Foy,-1846,Acnanthidium minutissimum,0,1
Foy,-1839,Acnanthidium minutissimum,0,1
Foy,-1831,Acnanthidium minutissimum,0,1
Foy,-1824,Acnanthidium minutissimum,0,1
Foy,-1817,Acnanthidium minutissimum,0,1
Foy,-1811,Acnanthidium minutissimum,0,1
Foy,-1806,Acnanthidium minutissimum,0,1
Foy,-1800,Acnanthidium minutissimum,0,1
Foy,-1793,Acnanthidium minutissimum,0,1
Foy,-1790,Acnanthidium minutissimum,0,1
Foy,-1783,Acnanthidium minutissimum,0,1
Foy,-1775,Acnanthidium minutissimum,0,1
Foy,-1767,Acnanthidium minutissimum,0,1
Foy,-1759,Acnanthidium minutissimum,0,1
Foy,-1750,Acnanthidium minutissimum,0,1
Foy,-1743,Acnanthidium minutissimum,0,1
Foy,-1734,Acnanthidium minutissimum,0,1
Foy,-1725,Acnanthidium minutissimum,0,1
Foy,-1720,Acnanthidium minutissimum,0,1
Foy,-1715,Acnanthidium minutissimum,0,1
Foy,-1709,Acnanthidium minutissimum,0,1
Foy,-1703,Acnanthidium minutissimum,0,1
Foy,-1694,Acnanthidium minutissimum,0,1
Foy,-1689,Acnanthidium minutissimum,0,1
Foy,-1682,Acnanthidium minutissimum,0,1
Foy,-1676,Acnanthidium minutissimum,0,1
Foy,-1671,Acnanthidium minutissimum,0,1
Foy,-1664,Acnanthidium minutissimum,0,1
Foy,-1657,Acnanthidium minutissimum,0,1
Foy,-1650,Acnanthidium minutissimum,0.01509434,1
Foy,-1644,Acnanthidium minutissimum,0.00173039,1
Foy,-1636,Acnanthidium minutissimum,0,1
Foy,-1632,Acnanthidium minutissimum,0,1
Foy,-1626,Acnanthidium minutissimum,0,1
Foy,-1618,Acnanthidium minutissimum,0.014084507,1
Foy,-1610,Acnanthidium minutissimum,0,1
Foy,-1602,Acnanthidium minutissimum,0,1
Foy,-1595,Acnanthidium minutissimum,0,1
Foy,-1590,Acnanthidium minutissimum,0,1
Foy,-1583,Acnanthidium minutissimum,0,1
Foy,-1575,Acnanthidium minutissimum,0,1
Foy,-1566,Acnanthidium minutissimum,0,1
Foy,-1554,Acnanthidium minutissimum,0,1
Foy,-1543,Acnanthidium minutissimum,0,1
Foy,-1526,Acnanthidium minutissimum,0,1
Foy,-1513,Acnanthidium minutissimum,0,1
Foy,-1505,Acnanthidium minutissimum,0,1
Foy,-1499,Acnanthidium minutissimum,0,1
Foy,-1494,Acnanthidium minutissimum,0,1
Foy,-1489,Acnanthidium minutissimum,0,1
Foy,-1484,Acnanthidium minutissimum,0,1
Foy,-1458,Acnanthidium minutissimum,0,1
Foy,-1454,Acnanthidium minutissimum,0,1
Foy,-1448,Acnanthidium minutissimum,0,1
Foy,-1440,Acnanthidium minutissimum,0,1
Foy,-1432,Acnanthidium minutissimum,0,1
Foy,-1421,Acnanthidium minutissimum,0,1
Foy,-1406,Acnanthidium minutissimum,0,1
Foy,-1399,Acnanthidium minutissimum,0,1
Foy,-1393,Acnanthidium minutissimum,0,1
